"country","pop2021"
"Pakistan","225199.9370"
"Nigeria","211400.7080"
"Egypt","104258.3270"
"Kenya","54985.6980"
"Uganda","47123.5310"
"Saudi Arabia","35340.6830"
"United Arab Emirates","9991.0890"
"Papua New Guinea","9119.0100"
"Oman","5223.3750"
"Qatar","2930.5280"
