"ranking","country","score","pop2021"
"140","Mexico","2.6200","130262.2160"
"141","Iran","2.6370","85028.7590"
"142","Ukraine","2.6600","43466.8190"
"143","Israel","2.6690","8789.7740"
"144","Colombia","2.6940","51265.8440"
"145","Cameroon","2.7000","27224.2650"
"146","Nigeria","2.7120","211400.7080"
"147","Lebanon","2.7970","6769.1460"
"148","Mali","2.8130","20855.7350"
"149","Turkey","2.8430","85042.7380"
"150","Pakistan","2.8680","225199.9370"
"151","North Korea","2.9230","25887.0410"
"152","Venezuela","2.9340","28704.9540"
"153","Sudan","2.9360","44909.3530"
"154","Russia","2.9930","145912.0250"
"155","Central African Republic","3.1310","4919.9810"
"156","Libya","3.1660","6958.5320"
"157","DR Congo","3.1960","92377.9930"
"158","Somalia","3.2110","16359.5040"
"159","Iraq","3.2570","41179.3500"
"160","South Sudan","3.3630","11381.3780"
"161","Syria","3.3710","18275.7020"
"162","Yemen","3.4070","30490.6400"
"163","Afghanistan","3.6310","39835.4280"
