Entity,Code,Year,Same sex marriage and civil unions legal
Afghanistan,AFG,2020,Same-sex marriage not legally recognized
Albania,ALB,2020,Same-sex marriage not legally recognized
Algeria,DZA,2020,Same-sex marriage not legally recognized
American Samoa,ASM,2020,Same-sex marriage not legally recognized
Andorra,AND,2005,Some rights to same-sex couples
Angola,AGO,2020,Same-sex marriage not legally recognized
Antigua and Barbuda,ATG,2020,Same-sex marriage not legally recognized
Argentina,ARG,2010,Same-sex marriage legal
Armenia,ARM,2020,Same-sex marriage not legally recognized
Aruba,ABW,2020,Same-sex marriage not legally recognized
Australia,AUS,2017,Same-sex marriage legal
Austria,AUT,2019,Same-sex marriage legal
Azerbaijan,AZE,2020,Same-sex marriage not legally recognized
Bahamas,BHS,2020,Same-sex marriage not legally recognized
Bahrain,BHR,2020,Same-sex marriage not legally recognized
Bangladesh,BGD,2020,Same-sex marriage not legally recognized
Barbados,BRB,2020,Same-sex marriage not legally recognized
Belarus,BLR,2020,Same-sex marriage not legally recognized
Belgium,BEL,2003,Same-sex marriage legal
Belize,BLZ,2020,Same-sex marriage not legally recognized
Benin,BEN,2020,Same-sex marriage not legally recognized
Bermuda,BMU,2020,Same-sex marriage not legally recognized
Bhutan,BTN,2020,Same-sex marriage not legally recognized
Bolivia,BOL,2020,Same-sex marriage not legally recognized
Bosnia and Herzegovina,BIH,2020,Same-sex marriage not legally recognized
Botswana,BWA,2020,Same-sex marriage not legally recognized
Brazil,BRA,2013,Same-sex marriage legal
British Virgin Islands,VGB,2020,Same-sex marriage not legally recognized
Brunei,BRN,2020,Same-sex marriage not legally recognized
Bulgaria,BGR,2020,Same-sex marriage not legally recognized
Burkina Faso,BFA,2020,Same-sex marriage not legally recognized
Burundi,BDI,2020,Same-sex marriage not legally recognized
Cambodia,KHM,2020,Same-sex marriage not legally recognized
Cameroon,CMR,2020,Same-sex marriage not legally recognized
Canada,CAN,2005,Same-sex marriage legal
Cape Verde,CPV,2020,Same-sex marriage not legally recognized
Cayman Islands,CYM,2020,Same-sex marriage not legally recognized
Central African Republic,CAF,2020,Same-sex marriage not legally recognized
Chad,TCD,2020,Same-sex marriage not legally recognized
Channel Islands,OWID_CIS,2020,Same-sex marriage not legally recognized
Chile,CHL,2015,Some rights to same-sex couples
China,CHN,2020,Same-sex marriage not legally recognized
Colombia,COL,2016,Same-sex marriage legal
Comoros,COM,2020,Same-sex marriage not legally recognized
Congo,COG,2020,Same-sex marriage not legally recognized
Costa Rica,CRI,2020,Same-sex marriage legal
Cote d'Ivoire,CIV,2020,Same-sex marriage not legally recognized
Croatia,HRV,2014,Some rights to same-sex couples
Cuba,CUB,2020,Same-sex marriage not legally recognized
Curacao,CUW,2020,Same-sex marriage not legally recognized
Cyprus,CYP,2015,Some rights to same-sex couples
Czechia,CZE,2006,Some rights to same-sex couples
Democratic Republic of Congo,COD,2020,Same-sex marriage not legally recognized
Denmark,DNK,2012,Same-sex marriage legal
Djibouti,DJI,2020,Same-sex marriage not legally recognized
Dominica,DMA,2020,Same-sex marriage not legally recognized
Dominican Republic,DOM,2020,Same-sex marriage not legally recognized
Ecuador,ECU,2019,Same-sex marriage legal
Egypt,EGY,2020,Same-sex marriage not legally recognized
El Salvador,SLV,2020,Same-sex marriage not legally recognized
Equatorial Guinea,GNQ,2020,Same-sex marriage not legally recognized
Eritrea,ERI,2020,Same-sex marriage not legally recognized
Estonia,EST,2016,Some rights to same-sex couples
Eswatini,SWZ,2020,Same-sex marriage not legally recognized
Ethiopia,ETH,2020,Same-sex marriage not legally recognized
Faeroe Islands,FRO,2020,Same-sex marriage not legally recognized
Fiji,FJI,2020,Same-sex marriage not legally recognized
Finland,FIN,2015,Same-sex marriage legal
France,FRA,2013,Same-sex marriage legal
French Guiana,GUF,2020,Same-sex marriage not legally recognized
French Polynesia,PYF,2020,Same-sex marriage not legally recognized
French Southern Territories,ATF,2020,Same-sex marriage not legally recognized
Gabon,GAB,2020,Same-sex marriage not legally recognized
Gambia,GMB,2020,Same-sex marriage not legally recognized
Georgia,GEO,2020,Same-sex marriage not legally recognized
Germany,DEU,2017,Same-sex marriage legal
Ghana,GHA,2020,Same-sex marriage not legally recognized
Gibraltar,GIB,2020,Same-sex marriage not legally recognized
Greece,GRC,2015,Some rights to same-sex couples
Greenland,GRL,2015,Same-sex marriage legal
Grenada,GRD,2020,Same-sex marriage not legally recognized
Guam,GUM,2020,Same-sex marriage not legally recognized
Guatemala,GTM,2020,Same-sex marriage not legally recognized
Guinea,GIN,2020,Same-sex marriage not legally recognized
Guinea-Bissau,GNB,2020,Same-sex marriage not legally recognized
Guyana,GUY,2020,Same-sex marriage not legally recognized
